"Week","demand"
"2017-01",58.0
"2017-02",501
"2017-02",480
"2017-02",411
"2017-02",595
"2017-02",419
"2017-02",1336
"2017-02",670
"2017-02",522
"2017-02",495
"2017-02",824
"2017-02",2367
"2017-02",1206
"2017-02",1160
"2017-02",1260
"2017-02",1510
"2017-02",1578
"2017-02",1082
"2017-02",1537
"2017-02",1432
"2017-02",1135
"2017-02",1093
"2017-02",867
"2017-02",1029
"2017-02",1395
"2017-02",2391
"2017-02",1181
"2017-02",671
"2017-02",508
"2017-02",678
"2017-02",1098
"2017-02",621
"2017-02",1020
"2017-02",1160
"2017-02",1376
"2017-02",1208
"2017-02",2550
"2017-02",1388
"2017-02",394
"2017-02",1818
"2017-02",1004
"2017-02",1217
"2017-02",576
"2017-02",921
"2017-02",1041
"2017-02",748
"2017-02",1110
"2017-02",725
"2017-02",543
"2017-02",1079
"2017-02",441
"2017-02",636
"2017-02",507
"2017-02",211
"2017-02",584
"2017-02",893
"2017-02",774
"2017-02",971
"2017-02",1026
"2017-02",1331
"2017-02",1024
"2017-02",1227
"2017-02",1156
"2017-02",1447
"2017-02",1442
"2017-02",1242
"2017-02",1056
"2017-02",1638
"2017-02",1627
"2017-02",1449
"2017-02",1188
"2017-02",1103
"2017-02",1376
"2017-02",1488
"2017-02",1358
"2017-02",1327
"2017-02",1595
"2017-02",1003
"2017-02",1400
"2017-02",485
"2017-02",1380
"2017-02",1462
"2017-02",1556
"2017-02",696
"2017-02",1870
"2017-02",510
"2017-02",1048
"2017-02",1032
"2017-02",1653
"2017-02",2508
"2017-02",1500
"2017-02",1339
"2017-02",1278
"2017-02",959
"2017-02",1626
"2017-02",1123
"2017-02",1180
"2017-02",881
"2017-02",962
"2017-02",1005
"2017-02",894
"2017-02",945
"2017-02",646
"2017-02",855
"2017-02",799
"2017-02",842
"2017-02",41
"2017-02",8
"2017-02",135
"2017-02",6
"2017-02",1482
"2017-02",1100
"2017-02",948
"2017-02",1187
"2017-02",13
"2017-02",2385
"2017-02",1118
"2017-02",1475
"2017-02",1669
"2017-02",2235
"2017-02",1071
"2017-02",2168
"2017-02",883
"2017-02",2196
"2017-02",1487
"2017-02",2876
"2017-02",1265
"2017-02",1612
"2017-02",1586
"2017-02",1632
"2017-02",1151
"2017-02",1503
"2017-02",840
"2017-02",1090
"2017-02",861
"2017-02",826
"2017-02",1212
"2017-02",1004
"2017-02",1180
"2017-02",1714
"2017-02",3133
"2017-02",3320
"2017-02",1839
"2017-02",1806
"2017-02",2132
"2017-02",775
"2017-02",919
"2017-02",1248
"2017-02",1340
"2017-02",486
"2017-02",1049
"2017-02",604
"2017-02",406
"2017-02",977
"2017-02",687
"2017-02",405
"2017-02",457
"2017-02",1207
"2017-02",185
"2017-02",381
"2017-02",1110
"2017-02",779
"2017-02",813
"2017-02",670
"2017-02",929
"2017-02",446
"2017-02",1084
"2017-02",1645
"2017-02",1410
"2017-02",2819
"2017-02",1182
"2017-02",794
"2017-02",1864
"2017-02",1820
"2017-02",1694
"2017-02",1792
"2017-02",972
"2017-02",780
"2017-02",1728
"2017-02",1101
"2017-02",1605
"2017-02",1279
"2017-02",1024
"2017-02",606
"2017-02",1872
"2017-02",1189
"2017-02",674
"2017-02",1180
"2017-02",867
"2017-02",798
"2017-02",670
"2017-02",1315
"2017-02",1188
"2017-02",904
"2017-02",1345
"2017-02",2133
"2017-02",494
"2017-02",3458
"2017-02",1411
"2017-02",1498
"2017-02",1028
"2017-02",1960
"2017-02",1216
"2017-02",662
"2017-02",1179
"2017-02",693
"2017-02",803
"2017-02",1751
"2017-02",1490
"2017-02",295
"2017-02",411
"2017-02",260
"2017-02",30
"2017-02",1769
"2017-02",572
"2017-02",625
"2017-02",2393
"2017-02",939
"2017-02",1168
"2017-02",2044
"2017-02",2481
"2017-02",1800
"2017-02",2278
"2017-02",1185
"2017-02",1783
"2017-02",1128
"2017-02",1383
"2017-02",2742
"2017-02",949
"2017-02",1653
"2017-02",643
"2017-02",21
"2017-02",4
"2017-02",3319
"2017-02",1621
"2017-02",992
"2017-02",1065
"2017-02",904
"2017-02",1010
"2017-02",2590
"2017-02",901
"2017-02",891
"2017-02",1015
"2017-02",1059
"2017-02",3599
"2017-02",2025
"2017-02",2099
"2017-02",1529
"2017-02",2005
"2017-02",1090
"2017-02",188
"2017-02",2291
